experience,job_description,job_desig,job_type,key_skills,location,company_name_encoded,final
8-12 yrs,Must be able to guide team members in analysis;Should be able to deliver results back to the Client ...,Senior Manager - Machine Learning - Python/ml/nlp/text Mining - IIT,,"machine learning, text mining, nlp, python, client relationship...","Gurgaon, Gurugram",1969,26.33
0-5 yrs,,Inviting Applications for the role of US Collections-voice,,"customer service, customer handling, operations, communication skills...",Hyderabad,1631,12.77
6-11 yrs,"- Experience in web, mobile products management in analytics space involving big-data, Machine Learning, ...",Technical Product Manager - IT/ Tech Services,analytics,"NLP, SAS, User Stories, Agile Development, Machine Learning, Test Scenarios...",Bengaluru,884,24.629999999999995
2-5 yrs,Min 2 yrs experience in generating new leads across the globe from analytics/solution selling background ...,"Consultant ,lead Generation Specialist",ANALYTICS,"Client Development, Lead Generation, Sales, Business Development...",Bengaluru(Marathahalli),1474,11.34
0-3 yrs,,Recruitment Executive / Senior Recruitment Executive,ANALYTICS,"recruitment, screening, shortlisting, sourcing, Talent Acquisition, hiring,...",Mumbai(Chakala),770,5.345000000000001
0-5 yrs,We are seeking a .NET developer for building and managing our solutions in .NET applications using ASP.NE ...,"Application Developer (.net, SQL Server, Msbi)",Analytics,"sql server, c#, asp.net, .net, msbi, application development, front end...",Kolkata,3908,9.475
0-2 yrs,,Patent Paralegal,,"patents, intellectual property, patent executive, patent assistant...",Delhi NCR(Pocket-1 Sector 6 Dwarka),2781,8.935000000000002
5-10 yrs,"- Previous experience in consulting, retail, consumer products or ecommerce start ups;- Experience in a ...",Product Manager - Insurance - IIT/ NIT/ IIM/ ISB,,"Product Management, Customer Experience, Business Improvement...",Mumbai,1210,14.370000000000001
0-5 yrs,"Experience in an extremely fast paced work environment preferably in research, consulting or marketing/st ...",Research Analyst / Business Analyst (secondary Research),,"business analysis, secondary research, project management...",Singapore,4811,5.43500000000001
3-8 yrs,"Experience in developing applications in C++ or any other equivalent programming languages"";Good ...",C++ Developer (a-tier College/ Product Development ),,"Data Structures, Algorithms, C++, Programming, Software Development, IOT...",Hyderabad,446,10.055
3-8 yrs,Job Profile: - Achieve digital business target (deals/bookings) at optimum cost. 	- ncrease ...,Assistant Manager / Manager - Digital Marketing,,"SEO, search engine optimization, online marketing, digital marketing, viral...",Mumbai,2377,13.5
4-6 yrs,At least 4-6 yr experience in Analytics;- Preferred candidates from banking domain or have undertaken or ...,Assistant Manager - Sas/python/r - KPO,Analytics,"SAS SQL, Machine Learning, R, Data Extraction, Excel, Python...",Bengaluru,1969,12.205
12-15 yrs,"- Good team management, project management and communication (both written and verbal) skills, including ...",Assistant Vice President - Insurance Analytics,Analytics,"Insurance Analytics, Analytics, SAS, R, Python, team management...","Gurgaon, Gurugram",1989,29.139999999999997
5-10 yrs,Should be able to monitor accuracy and quality of others- work;- Minimum of 3 years of relevant ...,Lead - Business Intelligence - Pharma Domain,,"Tableau, Business Intelligence, Spotfire, QlikView, Technology Leadership...","Bengaluru, Gurgaon",1969,18.49499999999999
5-9 yrs,This person must show ownership and be willing to take things to closure for the products;This person ...,Android Developer,,"java, android, object oriented design, nfc, threading...",Bengaluru,2339,16.015000000000004
1-3 yrs,,Marketing Executive,,"Google AdWords, Content Marketing, SEO, Market Research, Social Media, Data...",Mumbai,2866,9.93
4-9 yrs,,Financial Planning and Analysis - Specialist,,"financial planning, FPA, budget, variance, variance analysis...",Bengaluru,305,18.56999999999999
2-5 yrs,Excellent communication skills along with strong people management skills and customer interaction ...,Network Security & Network Policy & Firewalls,,"Network security, cisco, Outsourcing, Customer interaction, Operations...",Bengaluru,190,8.440000000000005
0-1 yrs,,KPO / BPO / Medical Billing Process / Process Associates,,"BPO, KPO, MNC, Medical Billing, Process Associate, us healthcare...",Ahmedabad,437,4.394999999999996
3-6 yrs,- You have good understanding of statistics and machine learning concepts;- You have hands on experience ...,Data Scientist - ETL/ Analytics,Analytics,"Data Science, Machine Learning, SQL, Python, R, ETL, Statistics, Analytics,...",Mumbai,4426,10.124999999999998
2-7 yrs,"2-9 Years of hands-on experience as a DevOps engineer with strong technical proficiency on public clouds, ...","Devops Engineer | Fractal Analytics, Mumbai",Analytics,"ansible, python, aws, Azure, Cloud, Linux",Mumbai,1472,11.96
4-7 yrs,o 4-7 years experience in system development (project-based preferred) including requirements definition ...,Senior Analyst - Adobe Campaign,,adobe campaign,Delhi NCR(Cyber City),4854,9.385000000000002
7-12 yrs,Good in designing and implementing complex enterprise applications in B2C e-commerce on Demandware ...,Demandware - System Analyst,,"System Analyst, Service, Enterprise applications, Javascript, demandware, E...",Pune,1076,14.405
1-6 yrs,**Its vital that you already have experience writing about these topics.** ;- Conducting research ...,Content Writer - Wordpress Domain,,"inbound marketing, content strategy, seo, content writing...",Bengaluru(1st Stage Indira Nagar+2),676,8.395000000000003
2-6 yrs,"With experience in the role,  the candidate can potentially grow within credit policy senior roles or ...",Modelling and Implementation,Analytics,"Analytics, SQL, SAS, Consulting, Forecasting, Data management, Underwriting...",Mumbai,910,8.024999999999999
7-10 yrs,Experience leading teams of size 5-15 members;Very good knowledge of statistical techniques such as ...,Senior Manager - Claim Analytics - KPO,Analytics,"segmentation, correlation, claim analytics  manager, analytics...","Gurgaon, Gurugram",1988,14.27
2-6 yrs,"Creating workflows, flowcharts, specifications diagrams and business requirement document;Adept at ...",Revenue Management Analyst/mis Business Analyst,,"Operations, Revenue Management, Business Analysis, Operational Support...",Mumbai,3218,12.52
3-7 yrs,,Mutual Fund Analyst,,"mutual funds, wealth management, research analysis",Mumbai,4207,15.945000000000002
4-9 yrs,,SEO Expert,,"Site Analysis, SEO, search engine optimization, sem, online marketing...","Mumbai, Mumbai Suburbs",1352,13.965
5-8 yrs,5+years of data science and machine learning experience with at least 2 years in working directly With ...,Data Scientist,,"deep learning, data science, neural networks, marketing management...",Bengaluru,261,10.384999999999998
2-3 yrs,"- You will be charged with ideation of new features, competition review, market research and analysis, ...",Product Manager,,"market research, research analysis, user experience, product management...",Gurgaon,500,6.189999999999996
3-6 yrs,2.5-6 years of experience;Good Oral & Written communication skills and able to handle conference ...,"Senior Quality Engineer,",,"Manual Testing, Automation Testing, Regression Testing, Database Testing...",Hyderabad,4984,9.14
8-11 yrs,Hands-on experience with using Cloud Platform provided Big Data and non-big data services;Hands-on ...,Lead Analytics-data Modelling,Analytics,"NoSQL, Spark, Mapreduce, SQL, Cassandra, Data Science, SCALA, Big Data...",Hyderabad,4272,19.12999999999999
5-10 yrs,,Stock Planner,,"Demand Forecasting, Trend Analysis, Planning, Dealer Handling",Delhi NCR(Sector 17A),1208,18.73499999999999
3-5 yrs,>1 year work experience within health insurance/IT/EDI market;1.	Total Experience;2.	Relevant ...,Business Analyst with US Health Care and Hipaa,,"Business Analysis, EDI, HIPAA, X12, XML, Agile, Scrum...",Bengaluru,2607,11.02
0-0 yrs,    We are looking for doctor candidate's with MBBS/BDS degree. ...,Healthcare Business Analyst (doctor Only),,"BDS, MDS, MBBS, Healthcare, business analyst",Bengaluru,2172,9.045000000000002
1-2 yrs,,Chromatographer,,Chromatographer,Mumbai,3141,5.145000000000005
12-15 yrs,Customer experience and Servicing analytics: Analytics to aid better experience for customer through ...,Specialized Analytics Group Manager,Analytics,"Forecasting, RF, Underwriting, Relationship management, Operations research...",Bengaluru,911,29.35
3-8 yrs,Experience in handling browser compatibility issues;Experience in integrating front-end code with server ...,Job |urgent : Reactjs / Reactnative Developer (redux) : Noida : Vinove,,"react, React.js, react js, reactjs, reactNative, react native, Node.Js...",Delhi NCR,4715,13.415
10-20 yrs,,Hiring for Senior Role in Proposal & Estimation- Mumbai,,"proposal, estimation, cost analysis, cost accounting, costing...",Mumbai,1904,31.274999999999995
0-4 yrs,,Analyst Organizational Effectiveness,analytics,"hr analytics, analytical, od, dashboards, Organizational Effectiveness, HR",Bengaluru,2795,12.67
5-7 yrs,"- Collaborate with various business teams to gather needs and translate them into simple, innovative and ...",UX Designer,,"Competitive Analysis, Research, Visualizing, UX Designer, Designer",Bengaluru,3998,9.68
8-13 yrs,- Minimum of 8 Year of SAP BW Experience with atlease 1 to 2 years of SAP ABAP and possesses multi ...,SAP BW Consultant - HANA Module,,"Hana, SAP ABAP, SAP BW, SAP ECC, Bo, Testing Tools, Analytical Skills...",Bengaluru,3536,28.369999999999994
8-13 yrs,"S /  He should be able to manage work load ,   and working under pressure excellent troubleshooting ...",Sr. Systems Analyst,,"JMS, Strong interpersonal skills, Siebel tools, Siebel scripting...",Bengaluru,4541,20.304999999999993
5-8 yrs,Understanding of good software design patterns with a passion for code quality and refactoring ...,DLP TEST Engineer,,"Linux, Python, Troubleshooting, Agile, HTTP, JSON, Software design...",Bengaluru,2742,12.135
3-8 yrs,,Product Costing - Team Leader /assistant Manager,,"cost accounting, finance, product costing, variance analysis, team leading,...",Delhi NCR,1631,13.37
10-20 yrs,,Economist - Tanzania - Water Supply Project - Bidding Stage,,"infrastructure, civil, water, sewer, wtp, stp, pipeline, team, leader, mld,...",Tanzania,1500,27.96
2-5 yrs,Salary :- As good per industry;Urgent requirement for Search operations in a leading E-commerce industry ...,Urgent Requirement_search Operations_bangalore,,"search operations, search ops, Catalog Analyst, mnm",Bengaluru,4893,5.154999999999998
2-7 yrs,,Quality Analyst,,"Feedback, Investigation, Quality Analysis, collection audit, Collections",Surat,1958,11.715000000000002
15-20 yrs,- Champions analytics and improvement in customer shopping ...,Head - Consumer Insights Marketing - Cement Firm,analytics,"Marketing, Consumer Insights, Strategy, Market Intelligence",Mumbai,4750,29.529999999999994
7-10 yrs,"Person should be aware of Broadcast QC standards, Netflix iTunes QC practices & guidelines, various ...",QC Analyst Netflix Mumbai,,"QC Tools, QC, Netflix, Broadcast, Digital, Digital formats, OTT, OTT QC",Mumbai,4893,15.815
10-13 yrs,Talents from Resources Domain Only;BE + MBA (Tier 1 Schools);Should be from IT Consulting Firms;- Should ...,SAP HANA Manager - Resources Domain,,"sap is, sap hana, solution architecture, it consulting, sap ecc, sap fico...",Gurgaon,4060,24.95499999999999
3-7 yrs,,Layout Engineer,,"board design, electricals, thermal analysis, mentor graphics...",Bengaluru,2143,17.074999999999996
2-7 yrs,Translating business requirements into product requirement documents;Taking responsibility for ensuring ...,Project Manager | AR & VR Education Projects | Edtech Startup,,"Project Management, Team Management, Team Handling, Key account management,...","Mohali, Jaipur, Chandigarh",4577,10.409999999999998
10-12 yrs,- This position must be able to advise and collaborate with business users and subject matter experts to ...,AVP - Cognitive Technologies Architect - Nlp/machine/deep Learning,,"Deep Learning, Natural Language Processing, NLP, Machine Learning, Java...","Bengaluru, Gurgaon",1969,18.064999999999994
2-4 yrs,Our team of sports fanatics strive to give sports fans the best experience in following their favourite ...,Growth Manager - SEO,,"Marketing Strategy, Events, Freelance Writing, Digital Content...",Bengaluru,183,8.66
2-5 yrs,Any Graduate with experience on following :;Good experience on Business Objects / SAP HR / COGNOS / ...,HR Reporting Lead/ Team Leader,,"team leading, report generation, hr reporting, sap hr, cognos, power bi...",Gurgaon,927,8.615000000000002
1-6 yrs,1 to 6 years experience from sales domain (B2B Sales);Qualification Any Graduate / Post graduate with ...,Business Development Executive / Partner Relationship Executive,,"Business Development, B2B Sales, Marketing, Lead Generation, Online Sales...",Chennai(MRC Nagar),2719,12.069999999999999
3-6 yrs,Experience & Qualification: A Graduate or Post Graduate with over 3-8 years of experience in NBFCs ...,Risk Analysis Team Executive- Risk Management Experienced,,"Operations, Finance, Compliance, Risk Management, Credit Rating...",Kollam,772,6.185000000000003
1-6 yrs,,Wfm(real TIME Analyst)-gurgaon,,"Real Time Analysis, WFM, RTA, Workforce Management","Gurgaon, Delhi, Delhi NCR",2283,13.51
9-14 yrs,"- An advanced degree in Math, Computer Science, Statistics, Physics, or a related field (high GPAs ...",Quant Analyst - C++,,"Algorithms, C++, Finance, Financial Markets, Market Data, Data Structures...",Delhi NCR,3319,25.695
4-6 yrs,"&bull;Ongoing support of business applications by problem analysis,  resolution,  reporting and ...",Specialist - Development,,"Application development, Coding, Unit testing, Analytical...",Gurgaon,4136,11.625
4-6 yrs,Establish a good rapport with the team;Hands on experience into SDTM or ADAMS & TLF (MANDATORY ...,Clinical SAS Programmer,,"SAS, Sdtm, Adam, Statistical Programming, Statistics, Life Sciences...","Mumbai, Hyderabad",2573,12.74
5-10 yrs,"- Experience working with large data sets - collection, analysis and processing;- Very good ...",Principal/architect - Technology - High Frequency/low Latency Trading,,"C++, VC++, Linux, OS, High Frequency Trading, Design Patterns, Team Leading...","United States (U.S), New Jersey",1970,14.225
4-6 yrs,"Experience in developing integrated solutions involving process, data, and technology;6 years business ...",Solution Integrity Analyst (osc) - Savigent,,"Project Management, Technical Architecture, SCOPE, Plant Maintenance...",Bengaluru,864,6.505000000000004
0-1 yrs,,Manual / Automation Tester - Software Test Engineer - Istqb/selenium,,"testing, test engineer, manual testing, qa, test case, automation testing...","Delhi NCR, Gurgaon, Noida",3719,8.940000000000001
6-10 yrs,"You are passionate about technology, have a track record of successful delivery in a lean/agile ...",Principal Support Analyst- Devops with AWS,,"Jenkins, Docker, AWS, Puppet, Java, Unix, Technical Skills, Problem Solving...",Mumbai,134,13.3
14-18 yrs,- 8+ years of analytics experience in the industry in a direct or consulting capacity helping ...,Manager/senior Manager - Industry Domain Lead - Analytics - Banking/in,Analytics,"Sales, Go - to - market Strategy, Marketing, Events, Accounting...",Chennai,3931,28.749999999999993
3-8 yrs,At least one year experience in dialer management;Good comprehension  and analytical skills;Candidate ...,Workforce Management Analyst (dialer) - Jana Bank,,"Inbound, Outbound, Dialer Management, Workforce Management...",Delhi NCR(Shahadra),2299,12.475
9-14 yrs,,Manager / Senior Manager -Project ( Data Analytics ) | Trivandrum,Analytics,"data analytics, general insurance, p&c, property, casualty...",Trivandrum,1694,28.660000000000004
8-13 yrs,Hands-on experience with using Cloud Platform provided Big Data and non-big data services;Hands-on ...,Lead Analytics - Data Modelling,Analytics,"NoSQL, Spark, Mapreduce, SQL, Cassandra, Data Science, SCALA, Big Data...",Hyderabad,4272,19.58999999999999
4-8 yrs,"- Must have shipped two high quality applications to App Store;- Experience with analytics, crash ...",iOS Developer - Objective C/ Swift/ Xcode,analytics,"objective c, xcode, iphone sdk, ios development, swift, apple, json, xml...",Bengaluru,3319,12.73
2-7 yrs,- Should be able to do unit testing and deliver bug free code;- Good communication and documentation ...,Continental Automotive - Senior Android Software Engineer - Java,,"Android, Software Engineering, Java, Unit Testing, Payment Gateways, Google...",Kolkata,3420,10.614999999999998
2-6 yrs,,SAP UI5 Fiori Development (html5 & Java),Analytics,"Javascript, XML, jQuery, Web development, Analytics, CSS3, Front end...",Mumbai,190,7.825000000000002
0-5 yrs,Need to have experience in making business presentation;Must be highly proficient in MS Office;Good ...,Executive Assistant to CEO,,"conferences, external communications, travel arrangements...",Bengaluru(Bande Bommasandra+1),2603,8.335
4-5 yrs,Build reporting framework within the Bank for seamless reporting experience for stakeholders from ...,BIU - Business Analyst (abr),,"SAS SQL, Tableau, Business Reporting, Technology Consulting...",Mumbai,526,7.845000000000004
1-5 yrs,Thanks & Regards  SHIKHA ZUTSHI   MANAGER-HR +91-9205684519 . Must have minimum ...,Walkin Interview - SEO Executive with Policyx.com ( Five days Working),,"seo, search engine optimization, SEO Executive, SEO Expert, SEO Associate...",Gurgaon,3300,11.735
12-14 yrs,12 - 14 years of relevant experience in analytics and 4 - 6 years of people management experience with ...,Senior Lead/director - Operations Analytics,Analytics,"machine learning, text mining, r, python, neural networks, sql, sas...",Bengaluru,3382,28.929999999999993
10-15 yrs,"Should have experience in partnering with an executive team, and have a high level of written and oral ...",Chief Financial Officer - Internet/online,,"Accounting, Finance, Banking, Auditing, Budgeting, Treasury, Due Diligence,...","Malaysia, Kuala Lumpur",1210,28.845000000000006
9-14 yrs,Conceptual thinker with good analytic and creative problem-solving skills;Educational Qualification: ...,Business Analyst- Land Transaction,analytic,"Legal Documentation, Finance, Financial Analysis, Purchase...",Mumbai,4365,26.11
0-5 yrs,,Home Base Job/ Data Entry/online Work/part Time Work/freelancer work,,"part time, freelancing, data entry, present job, work from home...","Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Chandigarh, Ludhiana",1153,4.135000000000007
3-5 yrs,,Recruitment Analyst,,"Consulting, Outsourcing, Data analysis, Interpersonal skills...",Gurgaon,190,8.225000000000005
3-7 yrs,"- 3+ years of relevant experience in research with family offices, mutual funds or other buy side or ...",Institutional Equity Research Analyst - FMCG,,"Financial Modelling, Finance, Equity Research, Research Analysis...",Mumbai,1730,13.834999999999999
5-8 yrs,Limited openings in one of the reputed organization : Location : Chennai  Process : R2R ...,R2R Financial Planning and Analysis_mnc_us Shift_chennai,,"Finance, Budgeting, Forecasting, R2R, General Ledger, Variance Analysis...",Chennai,4893,15.575000000000003
5-8 yrs,Proficiency with transactional operations of MRP (SAP preferred);Years of Experience:5 - 8 years ...,Material Planning Analyst,,"Advanced Excel, Powerpoint, MS Office, MS Access, Customer Interfacing...",Bengaluru,861,8.48
2-6 yrs,"3-7 Years of experience in multiple roles in banking, preferable Operational risk;Analytical skills and ...",Operational Risk Manager - Airtel Payments Bank,,"risk management, operational risk, rcsa, risk control, fraud monitoring...",Gurgaon,284,7.710000000000003
4-9 yrs,- 3+ year experience working with real world datasets;- Good familiarity with Python and its scientific ...,Data Scientist - Nlp/machine Learning,,"Machine Learning, Natural Language Processing, Deep Learning, NLP...",Bengaluru,3319,18.444999999999993
8-13 yrs,Experience 2 years to 13 years;IITs and IIMs can apply with lesser years of experience in SAS Analytics ...,Fraud Strategy & Analytics - SAS Analytics,Analytics,"Retail Banking, Analytics, Credit Cards","Delhi NCR, Mumbai, Bengaluru",2574,21.07999999999999
0-3 yrs,"Adheres to quality standards required by the client;Supports pre sales meetings, requirement discussions, ...",Business Consultant - Consulting firm,,"business analysis, business consulting, presales, management consulting...","Mumbai, Mumbai Suburbs, Thane",4971,7.695000000000004
3-5 yrs,"We are hiring for ""Assistant Manager-Internal Audit"" position with one of the leading MNC clients in ...",Assistant Manager-internal Audit,Analytics,"Auditing, Audit Report, Cost Reduction, Process Control, Analytics",Delhi NCR,873,6.285000000000002
10-15 yrs,"- Good team management, project management and communication (both written and verbal) skills, including ...",Assistant Vice President - Insurance Analytics,Analytics,"Insurance Analytics, Model Development, C, Planning, R, Team Management...",Gurgaon,1989,31.654999999999998
3-4 yrs,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,AngularJS,,"MVC, Visual Studio, Stored procedures, Business process, Outsourcing...",Chennai,190,8.625
8-13 yrs,Well versed with Intelligent Automation and use of AI in building next gen automation tools;Must have ...,Manager/lead- Automation,,"automation tools, automation anywhere, Process Automation, Automation",Ahmedabad,1922,13.48
7-12 yrs,"Any industry exp is ok but should have good knowledge into data management, statistical analysis ...",Assistant Manager SFE,analytics,"data analytics, sfe, statistical analysis",Mumbai,1724,17.084999999999994
3-6 yrs,Demonstrated experience in requirements analysis and design using standard tools and techniques such as ...,Functional Consultant - ERP,,"Team Management, Customer Management, Gap Analysis, Issue Resolution...",Mumbai,301,12.745
4-7 yrs,Minimum 4+ years experience within an analytical credit risk function;The candidate will be required to ...,AM - Credit Model Validations,,"Risk Management, Liquidity Risk, Legal Documentation, Lgd, Credit Risk...",Gurgaon,4806,11.815
7-10 yrs,Experience in collecting and analysing data;Experience in Procurement in New Office set up / Existing ...,Manager/ Sr. Manager- Purchase,,"procurement, purchase management, negotiation, contract management...",Gurgaon,4733,16.25
10-16 yrs,5.	Very good knowledge on manufacturing process;1.	Technically proficient in matters of Engine Design ...,Sr.manager/manager Engine Design,,"Engine Design, DFMEA, DFA, QFD, Tool Design, Diesel Engines...",Indore,2043,22.324999999999996
2-5 yrs,,AWS Architect,analytics,"Outsourcing, Operations, advanced analytics, Technical support...",Bengaluru,190,8.110000000000003
